website,link,time,header,extra1,extra2
Help,https://support.google.com/chromebook/answer/114836?visit_id=636730630555878698-2501343066&p=settings_privacy&rd=1,"Sep 20, 2018, 1:57:35 PM EDT",Visited Choose your privacy settings - Computer - Chromebook Hel,,
Search,https://www.google.com/url?q=https://lifehacker.com/how-to-install-linux-on-a-chromebook-and-unlock-its-ful-509039343&usg=AFQjCNEc1BfvEtbYNdxSlcfYQYAl7s-MhQ,"Sep 20, 2018, 2:11:49 PM EDT",Visited How to Install Linux on a Chromebook and Unlock Its Full Potential,,
Search,https://www.google.com/search?q=chromebook+turn+on+developer+mode,"Sep 20, 2018, 2:11:46 PM EDT",arched for chromebook turn on developer mod,Search,"From your activity: https://google.com/maps?q=38.851402,-77.050690"
Search,https://www.google.com/search?q=chromebook+crosh+developer+mode,"Sep 20, 2018, 2:11:27 PM EDT",arched for chromebook crosh developer mod,Search,"From your activity: https://google.com/maps?q=38.851402,-77.050690"
Search,https://www.google.com/url?q=https://www.androidcentral.com/how-enable-developer-mode-chrome-os&usg=AFQjCNF5no_FSXTqHO-dLs2ElhHrtsKqZA,"Sep 20, 2018, 2:06:56 PM EDT",Visited How to enable developer mode on your Chromebook | Android ...,,
Search,https://www.google.com/url?q=https://www.chromium.org/chromium-os/poking-around-your-chrome-os-device&usg=AFQjCNFGuj4zUJrUZInR2HnJA6gWw9AJdA,"Sep 20, 2018, 2:05:08 PM EDT",Visited Poking around your Chrome OS Device - The Chromium Projects,,
Search,https://productforums.google.com/d/topic/chromebook-central/xeHidXO_vV8,"Sep 20, 2018, 2:04:38 PM EDT","Visited Unable to execute ""shell"" command in crosh on Chromebook Pixel ...",,
Search,https://www.google.com/search?q=chromebook+crosh+shell+unknown+command,"Sep 20, 2018, 2:04:36 PM EDT",arched for chromebook crosh shell unknown command,Search,"From your activity: https://google.com/maps?q=38.851402,-77.050690"
Search,https://www.google.com/url?q=https://www.howtogeek.com/170648/10-commands-included-in-chrome-oss-hidden-crosh-shell/&usg=AFQjCNGstSXNuflbMWwqtO-xO5SQe0Lwhw,"Sep 20, 2018, 2:03:15 PM EDT",Visited 10+ Commands Included In Chrome OS's Hidden Crosh Shell,,
Search,https://www.google.com/search?q=chromebook+crosh,"Sep 20, 2018, 2:03:13 PM EDT",arched for chromebook crosh,Search,"From your activity: https://google.com/maps?q=38.851402,-77.050690"
Search,https://www.google.com/url?q=https://www.meetchrome.com/java-on-chromebook/&usg=AFQjCNFUa09LqpgfwsY0XQJ2y_LklGb1Rg,"Sep 20, 2018, 2:00:13 PM EDT",Visited How To Run Full Java 8 On Your Chromebook – No Crouton Needed,,
Search,https://www.google.com,"Sep 20, 2018, 1:53:00 PM EDT",Visited Google Search,,
Search,https://www.google.com/url?q=https://www.techjunkie.com/chromebook-install-java/&usg=AFQjCNGfGx-DZ2fbfsULkBgSHCbdRryEOw,"Sep 20, 2018, 1:52:09 PM EDT",Visited How to Install and Use Java On Chromebook - TechJunki,,
Search,https://www.google.com/search?q=how+to+run+java+on+chromebook,"Sep 20, 2018, 1:52:05 PM EDT",arched for how to run java on chromebook,Search,"From your activity: https://google.com/maps?q=38.851402,-77.050690"
Search,https://www.google.com/search?q=how+to+run+java+in+google+computer,"Sep 20, 2018, 1:51:33 PM EDT",arched for how to run java in google computer,Search,"From your activity: https://google.com/maps?q=38.851402,-77.050690"
Search,https://www.google.com/url?q=https://s.weibo.com/&usg=AFQjCNEVfPce9o413X-fvKJcY7SNYx_5iA,"Sep 18, 2018, 11:20:32 PM EDT",Visited 微博搜索,,
Search,https://www.google.com/search?q=%E5%BE%AE%E5%8D%9A,"Sep 18, 2018, 11:20:29 PM EDT",arched for 微博,Search,"From your current location: https://google.com/maps?q=38.855118,-77.054199"
Search,https://www.google.com/search?q=jingdong+stock,"Sep 18, 2018, 11:19:24 PM EDT",arched for jingdong stock,Search,"From your current location: https://google.com/maps?q=38.855118,-77.054199"
Search,https://www.google.com,"Sep 15, 2018, 3:58:52 PM EDT",Visited Google Search,,
Search,https://www.google.com/url?q=https://www.zhihu.com/question/19575320&usg=AFQjCNEfSY-3q6vMIcAxBB69kotghraNyg,"Sep 14, 2018, 8:50:35 PM EDT",Visited 炒美股如何开户？ - 知乎,,
Search,https://www.google.com/search?q=%E7%82%92%E7%BE%8E%E8%82%A1,"Sep 14, 2018, 8:50:33 PM EDT",arched for 炒美股,Search,"From your current location: https://google.com/maps?q=38.855152,-77.054230"
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Oct 3, 2018, 10:58:28 PM EDT",Used YouTube,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Oct 3, 2018, 2:28:50 PM EDT",Used YouTube,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Oct 3, 2018, 9:19:40 AM EDT",Used YouTube,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Oct 2, 2018, 9:02:08 PM EDT",Used YouTube,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Oct 2, 2018, 9:24:43 AM EDT",Used YouTube,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Oct 1, 2018, 10:38:37 PM EDT",Used YouTube,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Sep 28, 2018, 3:04:38 PM EDT",Used YouTub,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Sep 28, 2018, 1:57:44 PM EDT",Used YouTub,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Sep 27, 2018, 9:29:37 PM EDT",Used YouTub,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Sep 26, 2018, 11:16:20 AM EDT",Used YouTub,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Sep 24, 2018, 3:31:35 PM EDT",Used YouTub,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Sep 24, 2018, 1:12:05 PM EDT",Used YouTub,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Sep 24, 2018, 9:04:01 AM EDT",Used YouTub,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Sep 23, 2018, 11:40:10 PM EDT",Used YouTub,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Sep 23, 2018, 11:02:36 PM EDT",Used YouTub,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Sep 23, 2018, 10:02:18 PM EDT",Used YouTub,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Sep 23, 2018, 4:46:44 PM EDT",Used YouTub,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Sep 22, 2018, 11:26:26 PM EDT",Used YouTub,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Sep 22, 2018, 1:57:18 PM EDT",Used YouTub,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Sep 22, 2018, 7:27:51 AM EDT",Used YouTub,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Sep 22, 2018, 6:56:46 AM EDT",Used YouTub,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Sep 22, 2018, 12:54:24 AM EDT",Used YouTub,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Sep 21, 2018, 5:30:47 PM EDT",Used YouTub,Ads,From Google A
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Sep 21, 2018, 11:48:42 AM EDT",Used YouTub,Ads,From Google A
youtube.com,https://www.youtube.com/watch?v=p-2_BgckkCI,"Sep 20, 2018, 10:29:24 PM EDT",Visited https://www.youtube.com/watch?v=p-2_BgckkCI,Ads,From Google A
youtube.com,https://www.youtube.com/watch?v=BxiuDIzXXPo,"Sep 20, 2018, 9:48:26 PM EDT",Visited 正片Full2018《中国好声音》第9集导师对战：李健战队PK哈林战队Tiger ...,Ads,From Google A
youtube.com,https://www.youtube.com/watch?v=MeghpOC6Ra4,"Sep 20, 2018, 8:09:54 PM EDT",Visited 【完整版下集】國民黨六都「坐2望3搶4」民心思變選票教訓蔡英文政府 ...,Ads,From Google A
youtube.com,https://www.youtube.com/watch?v=chqSZ_eOgVI,"Sep 20, 2018, 7:39:37 PM EDT",Visited 法務部擬修法防假新聞「放寬監聽、調通聯記錄」民進黨雙重標準？少康 ...,Ads,From Google A
youtube.com,https://www.youtube.com/watch?v=m3QbPMpepZs,"Sep 20, 2018, 7:25:59 PM EDT",Visited 【完整版下集】蔡英文政府殺氣騰騰「打假新聞」掀管制言論自由妖風 ...,Ads,From Google A
youtube.com,https://www.youtube.com/watch?v=Nq6zdV16aLA,"Sep 20, 2018, 6:38:02 PM EDT",Visited 柯文哲憂心年輕人投票率低致命傷！民進黨外圍組織助攻「棄姚保柯 ...,Ads,From Google A
youtube.com,https://www.youtube.com/watch?v=AYSTKS89pPk,"Sep 20, 2018, 5:22:50 PM EDT",Visited 艾熱超炸演出《小人物》慘奪0分！鄧紫棋狂讚：要流行有 ... - YouTub,Ads,From Google A
youtube.com,https://www.youtube.com/watch?v=Zeevj6j2JIk,"Sep 20, 2018, 5:15:39 PM EDT",Visited 艾熱《烏雲中》高音質/ 動態歌詞版MV #中國新說唱#烏雲中- YouTub,Ads,From Google A
youtube.com,https://www.youtube.com/watch?v=03vHriIcb5U,"Sep 20, 2018, 5:08:35 PM EDT",Visited 【純享版】艾熱- 小人物#純享版中國新說唱EP9 - YouTub,Ads,From Google A
youtube.com,https://www.youtube.com/watch?v=xFOb4JMnYt4,"Sep 20, 2018, 5:01:38 PM EDT",Visited 【純享版】王以太- 時間是金#純享版中國新說唱EP9 - YouTub,Ads,From Google A
youtube.com,https://www.youtube.com/watch?v=BVcLgNlKhpQ,"Sep 20, 2018, 4:52:45 PM EDT",Visited 【純享版】王以太- 童言無忌#純享版中國新說唱EP9 - YouTub,Ads,From Google A
youtube.com,https://www.youtube.com/watch?v=2FoRwQgyQDU,"Sep 20, 2018, 4:49:09 PM EDT",Visited 【純享版】李榮浩& ICE - 王牌冤家#純享版中國新說唱EP10 - YouTub,Ads,From Google A
youtube.com,https://www.youtube.com/watch?v=U_fVt8WkqMU,"Sep 20, 2018, 4:41:13 PM EDT",Visited 《中國新說唱》ICE《Trust My God》帥全場！ 鄧紫棋甜喊：我們愛死你了 ...,Ads,From Google A
youtube.com,https://www.youtube.com/watch?v=ZdoVBVJSWEM,"Sep 20, 2018, 4:38:28 PM EDT",Visited ICE《AYA》超穩超炸搶進4強！評審讚譽：非常有流行感｜中國新說唱 ...,Ads,From Google A
youtube.com,https://www.youtube.com/watch?v=tPcCWqQsFBA,"Sep 20, 2018, 4:29:21 PM EDT",Visited 王以太證實力獻唱《目不轉睛》 潘瑋柏好評：表現最棒的一次！ - YouTub,Ads,From Google A
youtube.com,https://www.youtube.com/watch?v=RkI_gYKN0dc,"Sep 20, 2018, 4:26:03 PM EDT",Visited ICE、李榮浩燃炸合體！《王牌冤家》重新演繹嗨翻全場｜中國新說唱 ...,Ads,From Google A
youtube.com,https://www.youtube.com/watch?v=Ej4zl6pEGHc,"Sep 20, 2018, 4:21:23 PM EDT",Visited 范冰冰失联三个月，王健林被“逼售”和南宋的“国有化改革”（20180917 ...,Ads,From Google A
youtube.com,https://www.youtube.com/watch?v=JCotV9VWIOQ,"Sep 20, 2018, 4:17:49 PM EDT",Visited 马云放话：贸易战准备打20年！“战狼”外交抬头（20180919第442期 ...,Ads,From Google A
lifehacker.com,https://www.google.com/url?q=https://lifehacker.com/how-to-install-linux-on-a-chromebook-and-unlock-its-ful-509039343&usg=AFQjCNEc1BfvEtbYNdxSlcfYQYAl7s-MhQ,"Sep 20, 2018, 2:13:09 PM EDT",Visited How to Install Linux on a Chromebook and Unlock Its Full Potential,Ads,From Google A
androidcentral.com,https://www.google.com/url?q=https://www.androidcentral.com/how-enable-developer-mode-chrome-os&usg=AFQjCNF5no_FSXTqHO-dLs2ElhHrtsKqZA,"Sep 20, 2018, 2:07:19 PM EDT",Visited How to enable developer mode on your Chromebook | Android ...,Ads,From Google A
howtogeek.com,https://www.google.com/url?q=https://www.howtogeek.com/170648/10-commands-included-in-chrome-oss-hidden-crosh-shell/&usg=AFQjCNGstSXNuflbMWwqtO-xO5SQe0Lwhw,"Sep 20, 2018, 2:03:30 PM EDT",Visited 10+ Commands Included In Chrome OS's Hidden Crosh Shell,Ads,From Google A
