website,link,header,time,year,month,day,hour,minute,second
Help,https://support.google.com/chromebook/answer/114836?visit_id=636730630555878698-2501343066&p=settings_privacy&rd=1,Choose your privacy settings - Computer - Chromebook Hel,"Sep 20, 2018, 1:57:35 PM EDT",2018,9,20,13,57,35
Search,https://www.google.com/url?q=https://lifehacker.com/how-to-install-linux-on-a-chromebook-and-unlock-its-ful-509039343&usg=AFQjCNEc1BfvEtbYNdxSlcfYQYAl7s-MhQ,How to Install Linux on a Chromebook and Unlock Its Full Potential,"Sep 20, 2018, 2:11:49 PM EDT",2018,9,20,14,11,49
Search,https://www.google.com/search?q=chromebook+turn+on+developer+mode,chromebook turn on developer mod,"Sep 20, 2018, 2:11:46 PM EDT",2018,9,20,14,11,46
Search,https://www.google.com/search?q=chromebook+crosh+developer+mode,chromebook crosh developer mod,"Sep 20, 2018, 2:11:27 PM EDT",2018,9,20,14,11,27
Search,https://www.google.com/url?q=https://www.chromium.org/chromium-os/poking-around-your-chrome-os-device&usg=AFQjCNFGuj4zUJrUZInR2HnJA6gWw9AJdA,Poking around your Chrome OS Device - The Chromium Projects,"Sep 20, 2018, 2:05:08 PM EDT",2018,9,20,14,5,8
Search,https://www.google.com/search?q=chromebook+crosh+shell+unknown+command,chromebook crosh shell unknown command,"Sep 20, 2018, 2:04:36 PM EDT",2018,9,20,14,4,36
Search,https://www.google.com/search?q=chromebook+crosh,chromebook crosh,"Sep 20, 2018, 2:03:13 PM EDT",2018,9,20,14,3,13
Search,https://www.google.com,Google Search,"Sep 20, 2018, 1:53:00 PM EDT",2018,9,20,13,53,0
Search,https://www.google.com/url?q=https://www.techjunkie.com/chromebook-install-java/&usg=AFQjCNGfGx-DZ2fbfsULkBgSHCbdRryEOw,How to Install and Use Java On Chromebook - TechJunki,"Sep 20, 2018, 1:52:09 PM EDT",2018,9,20,13,52,9
Search,https://www.google.com/search?q=how+to+run+java+on+chromebook,how to run java on chromebook,"Sep 20, 2018, 1:52:05 PM EDT",2018,9,20,13,52,5
Search,https://www.google.com/search?q=how+to+run+java+in+google+computer,how to run java in google computer,"Sep 20, 2018, 1:51:33 PM EDT",2018,9,20,13,51,33
Search,https://www.google.com/search?q=jingdong+stock,jingdong stock,"Sep 18, 2018, 11:19:24 PM EDT",2018,9,18,23,19,24
Search,https://www.google.com,Google Search,"Sep 15, 2018, 3:58:52 PM EDT",2018,9,15,15,58,52
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,YouTube,"Oct 3, 2018, 10:58:28 PM EDT",2018,10,3,22,58,28
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,YouTube,"Oct 3, 2018, 2:28:50 PM EDT",2018,10,3,14,28,50
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,YouTube,"Oct 3, 2018, 9:19:40 AM EDT",2018,10,3,9,19,40
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,YouTube,"Oct 2, 2018, 9:02:08 PM EDT",2018,10,2,21,2,8
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,YouTube,"Oct 2, 2018, 9:24:43 AM EDT",2018,10,2,9,24,43
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,YouTube,"Oct 1, 2018, 10:38:37 PM EDT",2018,10,1,22,38,37
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,YouTub,"Sep 28, 2018, 3:04:38 PM EDT",2018,9,28,15,4,38
