word1,word2,count
la,Ch,259
WeChat,Ch,249
com.bbk.launcher,la,234
WeChat,com.bbk.launcher,195
WeChat,la,195
com.bbk.launcher,Ch,195
Watched,video,190
Watched,Watch,190
Watched,move,190
video,Watch,190
video,move,190
Watch,move,190
la,Me,184
eng,Ch,163
eng,WeChat,161
Ch,Me,158
WeChat,QQ,153
QQ,Ch,153
eng,la,145
eng,com.ifeng.news,142
eng,com.bbk.launcher,137
com.bbk.launcher,QQ,136
QQ,la,136
Messaging,Me,134
WeChat,Me,133
WeChat,com.ifeng.news,133
com.ifeng.news,Ch,133
Alipay,com.bbk.launcher,130
Alipay,la,130
Alipay,WeChat,129
Alipay,Ch,129
eng,QQ,129
eng,Me,124
Messaging,WeChat,124
Messaging,Ch,124
com.bbk.launcher,Me,121
QQmail,QQ,114
com.bbk.launcher,com.ifeng.news,110
la,com.ifeng.news,110
QQ,Me,110
Alipay,QQ,108
WeChat,QQmail,107
QQmail,Ch,107
Messaging,com.bbk.launcher,107
Messaging,la,107
QQ,com.ifeng.news,105
eng,Messaging,105
Alipay,eng,101
Messaging,QQ,101
New,News,98
La,New,97
La,News,97
La,Time,97
La,NYTimes,97
New,Time,97
New,NYTimes,97
News,Time,97
News,NYTimes,97
Time,NYTimes,97
WeChat,YouTub,95
YouTub,Ch,95
QQ,YouTub,93
com.bbk.launcher,QQmail,92
QQmail,la,92
king,Ch,91
Instagram,la,91
Alipay,Me,91
la,YouTub,91
king,la,90
La,la,90
eng,QQmail,89
com.bbk.launcher,YouTub,87
com.ifeng.news,Me,87
New,la,85
eng,YouTub,83
Alipay,Messaging,83
News,la,82
Time,la,82
la,NYTimes,82
eng,Messenger,82
eng,WhatsApp,82
Messenger,Me,82
Messenger,WhatsApp,82
Me,WhatsApp,82
Alipay,QQmail,76
Messaging,com.ifeng.news,76
Alipay,YouTub,75
Alipay,com.ifeng.news,74
QQmail,com.ifeng.news,73
QQmail,Me,73
WeChat,Instagram,73
Instagram,Ch,73
Messenger,la,71
la,WhatsApp,71
WeChat,com.vivo.browser,71
com.vivo.browser,Ch,71
La,Ch,70
QQmail,YouTub,70
Sea,la,69
Play,la,69
king,Me,69
WeChat,Messenger,69
WeChat,WhatsApp,69
Messenger,Ch,69
Ch,WhatsApp,69
America,Mobile,68
America,king,68
America,Banking,68
America,Mob,68
America,Bank,68
Mobile,king,68
Mobile,Banking,68
Mobile,Mob,68
Mobile,Bank,68
king,Banking,68
king,Mob,68
king,Bank,68
Banking,Mob,68
Banking,Bank,68
Mob,Bank,68
com.ifeng.news,YouTub,68
Messaging,QQmail,68
com.bbk.launcher,Messenger,67
com.bbk.launcher,WhatsApp,67
com.bbk.launcher,Instagram,67
WeChat,com.vivo.gallery,67
com.vivo.gallery,Ch,67
La,WeChat,66
New,WeChat,66
New,Ch,66
WeChat,News,66
WeChat,Time,66
WeChat,NYTimes,66
News,Ch,66
Time,Ch,66
NYTimes,Ch,66
Watch,la,65
